09-20-2026 06:40:47 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.062C/45.312C soc2@45C/45.125C soc0@44.75C/45.031C gpu@45.562C/45.781C tj@45.562C/45.781C soc1@45.281C/45.531C VDD_IN 4699mW/5262mW/5695mW VDD_CPU_GPU_CV 473mW/794mW/1026mW VDD_SOC 1461mW/1502mW/1579mW
09-20-2026 06:40:48 RAM 1805/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.031C/45.312C soc2@44.968C/45.125C soc0@44.875C/45.031C gpu@45.375C/45.781C tj@45.375C/45.781C soc1@45.343C/45.531C VDD_IN 4699mW/5249mW/5695mW VDD_CPU_GPU_CV 473mW/786mW/1026mW VDD_SOC 1461mW/1502mW/1579mW
09-20-2026 06:40:48 RAM 1805/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@44.968C/45.125C soc0@44.812C/45.031C gpu@45.343C/45.781C tj@45.343C/45.781C soc1@45.312C/45.531C VDD_IN 4699mW/5237mW/5695mW VDD_CPU_GPU_CV 473mW/779mW/1026mW VDD_SOC 1461mW/1501mW/1579mW
09-20-2026 06:40:49 RAM 1802/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.812C/45.312C soc2@44.968C/45.125C soc0@44.937C/45.031C gpu@45.25C/45.781C tj@45.343C/45.781C soc1@45.343C/45.531C VDD_IN 4659mW/5224mW/5695mW VDD_CPU_GPU_CV 473mW/773mW/1026mW VDD_SOC 1421mW/1499mW/1579mW
09-20-2026 06:40:49 RAM 1802/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.687C/45.312C soc2@45C/45.125C soc0@44.937C/45.031C gpu@45.25C/45.781C tj@45.343C/45.781C soc1@45.343C/45.531C VDD_IN 4659mW/5212mW/5695mW VDD_CPU_GPU_CV 473mW/766mW/1026mW VDD_SOC 1421mW/1497mW/1579mW
09-20-2026 06:40:50 RAM 1799/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.062C/45.312C soc2@44.968C/45.125C soc0@44.812C/45.031C gpu@45.218C/45.781C tj@45.281C/45.781C soc1@45.281C/45.531C VDD_IN 4659mW/5201mW/5695mW VDD_CPU_GPU_CV 473mW/760mW/1026mW VDD_SOC 1421mW/1496mW/1579mW
09-20-2026 06:40:51 RAM 1799/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@44.968C/45.125C soc0@44.812C/45.031C gpu@45.531C/45.781C tj@45.531C/45.781C soc1@45.281C/45.531C VDD_IN 4667mW/5190mW/5695mW VDD_CPU_GPU_CV 473mW/754mW/1026mW VDD_SOC 1461mW/1495mW/1579mW
09-20-2026 06:40:51 RAM 1797/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.875C/45.312C soc2@44.875C/45.125C soc0@44.937C/45.031C gpu@45.218C/45.781C tj@45.218C/45.781C soc1@45.156C/45.531C VDD_IN 4659mW/5179mW/5695mW VDD_CPU_GPU_CV 473mW/749mW/1026mW VDD_SOC 1421mW/1493mW/1579mW
09-20-2026 06:40:52 RAM 1797/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.687C/45.312C soc2@44.968C/45.125C soc0@44.875C/45.031C gpu@45.437C/45.781C tj@45.437C/45.781C soc1@45.406C/45.531C VDD_IN 4659mW/5169mW/5695mW VDD_CPU_GPU_CV 473mW/743mW/1026mW VDD_SOC 1461mW/1493mW/1579mW
09-20-2026 06:40:52 RAM 1795/7546MB (lfb 45x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.562C/45.312C soc2@44.906C/45.125C soc0@44.937C/45.031C gpu@45.343C/45.781C tj@45.343C/45.781C soc1@45.312C/45.531C VDD_IN 4659mW/5159mW/5695mW VDD_CPU_GPU_CV 473mW/738mW/1026mW VDD_SOC 1461mW/1492mW/1579mW
